n,a_circ,a,x0,y0,N_sites,E0,Ekin0,lamA_sites,lamA_an
3.0,48.0,45.26132877739777,0.75,0.5,7228,-3.9974944709413687,0.0025055290586313284,5.76458059102398,5.7727389510865805
3.0,48.0,45.26132877739777,0.75,0.75,7236,-3.997497349257513,0.0025026507424867894,5.76433127061895,5.766107310689563
4.0,24.0,22.09060290805418,0.0,0.0,1825,-3.990154603044963,0.009845396955037167,5.719344111150619,5.670948646101408
4.0,24.0,22.09060290805418,0.0,0.25,1816,-3.990093617619299,0.009906382380700851,5.726391797738699,5.70607625128369
4.0,24.0,22.09060290805418,0.0,0.5,1816,-3.9900995866903854,0.009900413309614553,5.722941371700705,5.702638066337982
4.0,24.0,22.09060290805418,0.0,0.75,1816,-3.9900936176192987,0.009906382380701295,5.726391797738956,5.706076251283946
4.0,24.0,22.09060290805418,0.25,0.0,1816,-3.990093617619299,0.009906382380700851,5.726391797738699,5.70607625128369
4.0,24.0,22.09060290805418,0.25,0.25,1807,-3.9900154537414267,0.009984546258573257,5.742970868175987,5.751098644938196
4.0,24.0,22.09060290805418,0.25,0.5,1806,-3.990019397740538,0.009980602259461957,5.737525410874565,5.748826901450087
4.0,24.0,22.09060290805418,0.25,0.75,1807,-3.9900154537414267,0.009984546258573257,5.742970868175987,5.751098644938196
4.0,24.0,22.09060290805418,0.5,0.0,1816,-3.9900995866903846,0.009900413309615441,5.722941371701219,5.702638066338494
4.0,24.0,22.09060290805418,0.5,0.25,1806,-3.9900193977405385,0.009980602259461513,5.737525410874311,5.748826901449831
4.0,24.0,22.09060290805418,0.5,0.5,1812,-3.9900433427531947,0.009956657246805278,5.742776012222905,5.73503457415984
4.0,24.0,22.09060290805418,0.5,0.75,1806,-3.990019397740538,0.009980602259461957,5.737525410874565,5.748826901450087
4.0,24.0,22.09060290805418,0.75,0.0,1816,-3.990093617619299,0.009906382380700851,5.726391797738699,5.70607625128369
4.0,24.0,22.09060290805418,0.75,0.25,1807,-3.990015453741427,0.009984546258572813,5.742970868175731,5.75109864493794
4.0,24.0,22.09060290805418,0.75,0.5,1806,-3.9900193977405376,0.009980602259462401,5.737525410874821,5.748826901450343
4.0,24.0,22.09060290805418,0.75,0.75,1807,-3.9900154537414267,0.009984546258573257,5.742970868175987,5.751098644938196
4.0,30.0,27.613253635067725,0.0,0.0,2817,-3.9935520801547817,0.006447919845218308,5.781713992495118,5.803127860696477
