a0,count,frac_neg,frac_pos,frac_zero,iqr,max,mean,mean_all,mean_amb_hi,mean_amb_lo,median,median_id,median_swap,metric,min,n,n_ambiguous,n_total,path,q05,q25,q75,q95,std,value
33.7,256,0.6484375,0.3515625,0.0,1.8821791594781923,4.181112339428972,-0.046824099936816216,,,,-0.5625494522643049,,,dimless_chi_minus,-2.0956149854021167,2.0,0,256,delta,-1.59909760005425,-0.9489046082953867,0.9332745511828056,2.3205721520642983,1.284339204041941,0.002
33.7,256,0.34375,0.65625,0.0,1.8896115258405788,2.0976828036597395,0.046534028784339904,,,,0.5640312657279045,,,dimless_chi_plus,-4.17320867231441,2.0,0,256,delta,-2.3204540361754233,-0.941277321559103,0.9483342042814757,1.5922455252386225,1.2834513711878286,0.002
33.7,256,0.5703125,0.4296875,0.0,0.0033759079762774036,0.013123445895213415,-0.00014503557536514264,,,,-0.0002869986364117949,,,dimless_chi_center,-0.010152014789821528,2.0,0,256,delta,-0.005257392000884709,-0.0017471607346164486,0.001628747241660955,0.00433869586050073,0.003212554591548604,0.002
33.7,252,0.40476190476190477,0.5952380952380952,0.0,4.7885895644683325,4.13039857796034,-0.12141767527538204,-0.1777532209523139,-0.08316573209105081,-0.17775322095231388,1.1300846104219233,1.01071004469885,1.1300846104768896,dimless_chi_split,-5.687860530223098,2.0,4,256,delta,-4.191762948894633,-2.8326706356454756,1.9559189288228571,3.1412092299543155,2.6194697578264625,0.004
33.7,252,0.5992063492063492,0.4007936507936508,0.0,2.393290069222648,2.8448242650195854,0.06062022751072894,,,,-0.5669013172649728,,,dimless_chi_minus,-2.0655155471864806,2.0,4,256,delta,-1.5703969614587143,-0.978149739344944,1.4151403298777039,2.093981197338676,1.3096320366280838,0.004
33.7,252,0.4087301587301587,0.5912698412698413,0.0,2.39713338285108,2.0648830307961608,-0.06079744776465405,,,,0.56318329308222,,,dimless_chi_plus,-2.8430362652034913,2.0,4,256,delta,-2.0977817515035855,-1.4175303057673005,0.9796030770837794,1.5708122685058112,1.309840796808415,0.004
33.7,252,0.5912698412698413,0.4087301587301587,0.0,0.002143234351117962,0.009814261786256218,-8.861012780447995e-05,,,,-0.00016173651959383584,,,dimless_chi_center,-0.007360931154054562,2.0,4,256,delta,-0.0033931818845756023,-0.0011652434381975718,0.00097799091292039,0.0031124002622562306,0.0020097590166684347,0.004
33.7,236,0.4957627118644068,0.5042372881355932,0.0,4.981683482274722,3.491732886620197,-0.3984985911577381,-0.19233500392144398,-0.192335003921444,-0.600329878227053,1.0734844103628762,1.3234761916838607,-2.0438279736803633,dimless_chi_split,-3.925009961692957,2.0,20,256,delta,-3.5515105384004304,-2.9077923675630766,2.073891114711645,3.093575533877032,2.572004976977809,0.008
33.7,236,0.5042372881355932,0.4957627118644068,0.0,2.492385241159578,1.9607391466915647,0.19899001110720285,,,,-0.5386185948456773,,,dimless_chi_minus,-1.7396986021649408,2.0,20,256,delta,-1.547539537100344,-1.0379648658367517,1.4544203753228264,1.7766038058451838,1.2859421722844848,0.008
33.7,236,0.4957627118644068,0.5042372881355932,0.0,2.4892982411055042,1.7520342844552506,-0.19950858005053662,,,,0.5348658155172187,,,dimless_chi_plus,-1.9642708150404697,2.0,20,256,delta,-1.7749067325183443,-1.4533719922306052,1.0359262488748993,1.5460359967436819,1.2860640755086241,0.008
33.7,236,0.6313559322033898,0.3686440677966102,0.0,0.0014866564164300877,0.0061678411507060105,-0.0002592844713351234,,,,-0.0003939113296658192,,,dimless_chi_center,-0.0034387676553226942,2.0,20,256,delta,-0.0020505738531212403,-0.001068476208794522,0.0004181802076355656,0.001873694766306444,0.0012798387153331017,0.008
48.2,248,0.375,0.625,0.0,4.442167782183262,5.487002173503882,0.05058214133073887,-0.04174944438574983,0.07355581727117627,-0.10419227963626765,0.7609878121780701,0.7375118078764966,0.7609878121780701,dimless_chi_split,-7.579640470087325,2.0,8,256,xi,-4.468726597412539,-2.230298715103732,2.2118690670795296,3.373147816725386,2.640573377206372,0.05
